item,scholar,freq,student.current.year
1,2002/03,86119,1
2,2002/03,39913,2
3,2002/03,27084,3
4,2002/03,24104,4
5,2003/04,81902,1
6,2003/04,39294,2
7,2003/04,26040,3
8,2003/04,36167,4
9,2004/05,72302,1
10,2004/05,38196,2
11,2004/05,26007,3
12,2004/05,35375,4
13,2005/06,65212,1
14,2005/06,37452,2
15,2005/06,25536,3
16,2005/06,35231,4
17,2006/07,58992,1
18,2006/07,36176,2
19,2006/07,30511,3
20,2006/07,31919,4
21,2007/08,49551,1
22,2007/08,37295,2
23,2007/08,31307,3
24,2007/08,34539,4
25,2008/09,54108,1
26,2008/09,33383,2
27,2008/09,37549,3
28,2008/09,44161,4
29,2009/10,55618,1
30,2009/10,26807,2
31,2009/10,27567,3
32,2009/10,28721,4
33,2010/11,55118,1
34,2010/11,20312,2
35,2010/11,16869,3
36,2010/11,20647,4
37,2011/12,70076,1
38,2011/12,26770,2
39,2011/12,27896,3
40,2011/12,27256,4
